THBL;GWH_JUAL
201501;201.535993
201502;184.068578
201503;205.282188
201504;205.318231
201505;214.088879
201506;208.853671
201507;194.641206
201508;202.453514
201509;202.256263
201510;222.370093
201511;222.604852
201512;220.679915
201601;227.905785
201602;206.850686
201603;225.453151
201604;225.142914
201605;235.832328
201606;221.183804
201607;217.670369
201608;224.957534
201609;227.585677
201610;231.865475
201611;224.311703
201612;229.479401
201701;224.692574
201702;204.834107
201703;230.472085
201704;226.027368
201705;235.157355
201706;221.078391
201707;221.820714
201708;228.392121
201709;225.991971
201710;242.896792
201711;231.171995
201712;231.945966
201801;230.16408
201802;211.850126
201803;241.464853
201804;242.983188
201805;249.244485
201806;222.548045
201807;230.702686
201808;229.672915
201809;234.297655
201810;259.021951
201811;252.44839
201812;252.652091
201901;249.727864
201902;230.94884
201903;251.053535
201904;254.865316
201905;267.124838
201906;232.364261
201907;243.202506
201908;242.153338
201909;246.075052
201910;270.985233
201911;269.579102
201912;278.075065
202001;268.146395
202002;254.95339
202003;261.764231
202004;240.759798
202005;237.185514
202006;239.333842
202007;244.854215
202008;241.863245
202009;256.731802
202010;262.406377
202011;261.924566
202012;259.298068
202101;270.359634
202102;231.487211
202103;262.097806
202104;253.71622
202105;260.099744
202106;260.408834
202107;243.454513
202108;249.698597
202109;257.076507
202110;274.949995
202111;265.788426
202112;279.2525182
202201;276.2600988
202202;247.832538
202203;277.248238
202204;270.2696484
202205;283.228758
202206;277.0975414
202207;280.9149373
202208;282.6926965
202209;282.9851509
202210;282.6064836
202211;275.977899
202212;289.493125
202301;305.5943642
202302;279.6900278
202303;315.8822536
202304;301.7511716
202305;324.1996003
202306;314.8566551
202307;309.3384414
202308;307.6160208
202309;307.8495813
202310;361.9689047
202311;368.2502479
202312;354.097419
202401;336.3180568
202402;323.6386387
202403;345.7394684
202404;336.3020548
202405;335.3016601
